customerID,churn_probability,risk_segment
5150-ITWWB,0.8180459358172623,Critical
9300-AGZNL,0.8146564226689829,Critical
9497-QCMMS,0.8141165335123283,Critical
1374-DMZUI,0.8136338153254561,Critical
4424-TKOPW,0.8133955134527668,Critical
8098-LLAZX,0.8102121390963184,Critical
2720-WGKHP,0.8089152770021489,Critical
7024-OHCCK,0.8088107100058415,Critical
5178-LMXOP,0.8031500820715753,Critical
7216-EWTRS,0.7943074639172382,High
5567-WSELE,0.7935328631589346,High
5277-ZLOOR,0.7898086321882636,High
5192-EBGOV,0.7886683017742082,High
2545-EBUPK,0.7885006937897838,High
1069-XAIEM,0.7879315214450309,High
3988-RQIXO,0.7866319911829549,High
1415-YFWLT,0.783955570052886,High
4910-GMJOT,0.7807804031944603,High
8149-RSOUN,0.779759823501065,High
7851-WZEKY,0.7794524799327849,High
4750-ZRXIU,0.7784506260504449,High
0295-PPHDO,0.7782596453885133,High
2660-EMUBI,0.7766669152791947,High
9057-SIHCH,0.7752471774035861,High
4822-RVYBB,0.7752082787392176,High
